name,label
31.4,31.4 Landes alpines et boréales
31.51,31.51 Fourrés bas de Pins mugo des Alpes internes
31.52,31.52
31.53,31.53 Fourrés bas de Pins mugo des Alpes sud occidentales
31.54,31.54
31.5,31.5 Fourré bas de Pins mugo
31.611,31.611 Fourrés d'Aulnes verts des Alpes
31.612,31.612 Broussailles corses d'Alnus viridis subsp. suaveolens
31.61,31.61 Broussailles d'Aulnes verts
31.6211,31.6211 Brousses à Saules bas des Alpes
31.6212,31.6212 Brousses alpiennes à Saules prostrés
31.6213,31.6213 Brousses alpiennes de Saules élevés
31.6214,31.6214 Broussailles de Saules pyrénéens
31.621,31.621 Fourrés de Saules pyrénéo alpiens
31.622,31.622
31.623,31.623
31.62,31.62 Fourrés de Saules
31.63,31.63 Mégaphorbiaies subalpines avec buissons
31.64,31.64
31.6,31.6 Fourrés subalpins et communautés de hautes herbes (mégaphorbiaies)
31.71,31.71 Landes épineuses pyrénéennes
31.72,31.72
31.721,31.721
31.722,31.722
31.723,31.723
31.724,31.724
31.73,31.73
31.731,31.731
31.732,31.732
31.733,31.733
31.734,31.734
31.7341,31.7341
31.7342,31.7342
31.735,31.735
31.7411,31.7411
31.7412,31.7412
31.7413,31.7413
31.7414,31.7414
31.7415,31.7415
31.741,31.741 Landes épineuses à Erinacea
31.742,31.742
31.7421,31.7421
31.7422,31.7422
31.7423,31.7423
31.7424,31.7424
31.743,31.743
31.7431,31.7431
31.7432,31.7432
31.7433,31.7433
31.744,31.744
31.7451,31.7451 Landes en coussinets pyrénéo cantabriennes
31.7452,31.7452
31.7453,31.7453
31.7454,31.7454
31.7455,31.7455
31.7456,31.7456 Landes en coussinets à Genista lobelii et G. pulchella
31.745,31.745 Landes en coussinets de Genista
31.746,31.746
31.7461,31.7461
31.7462,31.7462
31.747,31.747
31.7471,31.7471
31.7472,31.7472
31.74,31.74 Landes épineuses franco ibériques
31.751,31.751 Landes épineuses à Astragalus gennargenteus
31.752,31.752 Landes épineuses cyrno sardes à Euphorbia
31.753,31.753 Landes en coussinets cyrno sardes à Thymus
31.754,31.754 Landes épineuses cyrno sardes à Genista
31.755,31.755 Landes épineuses cyrno sardes à Berberis
31.756,31.756 Landes épineuses cyrno sardes à Anthyllis
31.75,31.75 Landes épineuses cyrno sardes
31.76,31.76
31.77,31.77
31.771,31.771
31.772,31.772
31.773,31.773
31.774,31.774
31.775,31.775
31.78,31.78
31.79,31.79
31.791,31.791
31.7911,31.7911
31.7912,31.7912
31.7913,31.7913
31.792,31.792
31.7921,31.7921
31.7922,31.7922
31.793,31.793
31.7931,31.7931
31.7932,31.7932
31.7A,31.7A{31.7A}
31.7A1,31.7A1{31.7A1}
31.7A2,31.7A2{31.7A2}
31.7A3,31.7A3{31.7A3}
31.7A4,31.7A4{31.7A4}
31.7B,31.7B{31.7B}
31.7B1,31.7B1{31.7B1}
31.7B2,31.7B2{31.7B2}
31.7B3,31.7B3{31.7B3}
31.7B4,31.7B4{31.7B4}
31.7C,31.7C{31.7C}
31.7C1,31.7C1{31.7C1}
31.7C11,31.7C11{31.7C11}
31.7C12,31.7C12{31.7C12}
31.7C13,31.7C13{31.7C13}
31.7C14,31.7C14{31.7C14}
31.7C15,31.7C15{31.7C15}
31.7C16,31.7C16{31.7C16}
31.7C17,31.7C17{31.7C17}
31.7C2,31.7C2{31.7C2}
31.7C21,31.7C21{31.7C21}
31.7C22,31.7C22{31.7C22}
31.7D,31.7D{31.7D}
31.7E,31.7E Landes épineuses à Astragalus sempervirens{31.7E}
31.7F,31.7F{31.7F}
31.7F1,31.7F1{31.7F1}
31.7F2,31.7F2{31.7F2}
31.7,31.7 Landes épineuses (= Landes hérisson)
31.8111,31.8111 Fruticées subatlantiques Prunus spinosa et Rubus fruticosus
31.8112,31.8112 Fruticées atlantiques Prunus spinosa et Rubus fruticosus
31.811,31.811 Fruticées à Prunus spinosa et halliers à Rubus fruticosus
31.81211,31.81211 Fruticées médio européennes à Prunelliers et Troènes
31.812121,31.812121 Fruticées atlantiques calciclines
31.812122,"31.812122 Fruticées calcicoles de bord de route, sur craie"
31.81212,31.81212 Fruticées atlantiques à Crataegus et Hedera
31.8121,31.8121 Fruticées atlantiques et médio européennes à Prunelliers et Troènes
31.8122,31.8122 Fruticées subméditerranéennes de Prunelliers et de Troènes
31.8123,31.8123 Fruticées de stations rocailleuses à Cotoneaster et Amélanchier
31.8124,31.8124 Fruticées d'Argousiers
31.81251,31.81251 Fruticées à Prunus brigantiaca
31.81252,31.81252 Autres fruticées intra alpines à Epine vinette
31.8125,31.8125 Fruticées intra alpines à Epine vinette
31.8126,31.8126
31.812,31.812 Fruticées à Prunelliers et Troènes
31.81,31.81 Fourrés médio européens sur sol fertile
31.82,31.82 Fruticées à Buis
31.831,31.831 Ronciers
31.832,"31.832 Fourrés à Bourdaine, Sorbiers, Chèvrefeuilles"
31.83,31.83 Fruticées atlantiques des sols pauvres
31.8411,31.8411 Landes à Genêts des plaines et des collines
31.8412,31.8412 Landes à Genêts des Alpes
31.8413,31.8413 Landes du Massif central à Cytisus scoparius
31.8414,31.8414 Landes à Cytisus scoparius des Pyrénées
31.841,31.841 Landes médio européennes à Cytisus scoparius
31.8421,31.8421 Landes à Cytisus purgans des Cévennes
31.8422,31.8422 Landes à Cytisus purgans pyrénéennes
31.8423,31.8423
31.8424,31.8424
31.8425,31.8425
31.8426,31.8426
31.8427,31.8427
31.842,31.842 Landes à Cytisus purgans
31.843,31.843
